sigma,sqrt_area,D,Z,T (?C),R ,Nf
650,15.96,0.99802,669.93851,25,-1,58600
600,22.01,0.9959,651.95103,25,-1,460000
550,19.92,0.99797,588.19282,25,-1,532400
500,12.26,0.99869,493.28971,25,-1,1.63E+06
450,39.24,0.9975,538.73129,25,-1,5.86E+07
400,28.09,0.9974,452.90605,25,-1,4.68E+08
360,33,0.99504,418.36096,25,0.1,170400
337.5,37.18,0.99425,399.97576,25,0.1,1.25E+06
315,19.39,0.99846,335.42129,25,0.1,5.85E+06
292.5,14.23,0.62977,251.7431,25,0.1,6.90E+06
270,11.85,0.74925,239.52625,25,0.1,2.28E+08
270,37.65,1,321.29937,25,0.1,187000
